epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9385486245155334,0.8842723965644836,0.0010000000474974513,0.17156897485256195,0.8544856309890747,0.8435028195381165,0.8812800049781799,0.5291014313697815,0.3283079266548157,0.7311999797821045,0.6924242377281189
1,0.9482073783874512,0.9022676348686218,0.0010000000474974513,0.1466623693704605,0.888041079044342,0.8548022508621216,0.8812800049781799,0.5520224571228027,0.32864370942115784,0.7311999797821045,0.6924242377281189
2,0.948611855506897,0.9030790328979492,0.0010000000474974513,0.14269119501113892,0.8858972787857056,0.8597457408905029,0.6297600269317627,0.48312607407569885,1.2724765539169312,0.028462998569011688,0.022727273404598236
3,0.9495087265968323,0.905524730682373,0.0010000000474974513,0.1417735368013382,0.8868581652641296,0.8635593056678772,0.8812800049781799,0.5672727823257446,0.32218462228775024,0.7311999797821045,0.6924242377281189
4,0.949276864528656,0.9030808210372925,0.0010000000474974513,0.1424179971218109,0.8861659169197083,0.863135576248169,0.8812800049781799,0.5950607061386108,0.32174456119537354,0.7311999797821045,0.6924242377281189
5,0.9497976899147034,0.9039838910102844,0.0010000000474974513,0.14012198150157928,0.8863505125045776,0.8658192157745361,0.8812800049781799,0.5808553099632263,0.3213006854057312,0.7311999797821045,0.6924242377281189
6,0.9497689008712769,0.9062302708625793,0.0010000000474974513,0.13846032321453094,0.8863340616226196,0.8656779527664185,0.8812800049781799,0.5759026408195496,0.3212072253227234,0.7311999797821045,0.6924242377281189
7,0.949769139289856,0.9059425592422485,0.0010000000474974513,0.13904930651187897,0.8865576386451721,0.8653954863548279,0.7427199482917786,0.5018795728683472,0.8111538290977478,0.36311787366867065,0.28939393162727356
8,0.9476578235626221,0.9072734117507935,0.0010000000474974513,0.1432199329137802,0.8831055760383606,0.857909619808197,0.7270400524139404,0.49662700295448303,0.793209433555603,0.29598307609558105,0.21212121844291687
9,0.9494216442108154,0.9057998657226562,0.0005000000237487257,0.13926886022090912,0.886584460735321,0.8634181022644043,0.8812800049781799,0.53694087266922,0.3209114670753479,0.7311999797821045,0.6924242377281189
10,0.9496240615844727,0.9069722294807434,0.0005000000237487257,0.1377471387386322,0.8862518072128296,0.8649717569351196,0.8812800049781799,0.571947455406189,0.3206331133842468,0.7311999797821045,0.6924242377281189
11,0.949653148651123,0.9048897624015808,0.0005000000237487257,0.13857150077819824,0.8861564993858337,0.8652542233467102,0.8812800049781799,0.5531596541404724,0.3224461078643799,0.7311999797821045,0.6924242377281189
12,0.9495084285736084,0.9083658456802368,0.0005000000237487257,0.13897384703159332,0.8862978219985962,0.8642655611038208,0.8812800049781799,0.5770379304885864,0.32026249170303345,0.7311999797821045,0.6924242377281189
13,0.9497686624526978,0.9103846549987793,0.0005000000237487257,0.13793538510799408,0.8863340616226196,0.8656779527664185,0.8812800049781799,0.5537296533584595,0.3207043409347534,0.7311999797821045,0.6924242377281189
14,0.9494507312774658,0.905186653137207,0.0005000000237487257,0.13911134004592896,0.8863767981529236,0.8638418316841125,0.8812800049781799,0.5571085214614868,0.3198101818561554,0.7311999797821045,0.6924242377281189
15,0.949739933013916,0.9083083868026733,0.0005000000237487257,0.1378784477710724,0.8863176107406616,0.8655367493629456,0.8812800049781799,0.5488382577896118,0.3212622404098511,0.7311999797821045,0.6924242377281189
16,0.9496820569038391,0.905855655670166,0.0005000000237487257,0.1391211450099945,0.8862847089767456,0.8652542233467102,0.8812800049781799,0.5175693035125732,0.3225593864917755,0.7311999797821045,0.6924242377281189
17,0.9497978687286377,0.9095321893692017,0.0005000000237487257,0.13702358305454254,0.8863505125045776,0.8658192157745361,0.8812800049781799,0.5694186687469482,0.31965693831443787,0.7311999797821045,0.6924242377281189
18,0.9497978091239929,0.9078130722045898,0.0005000000237487257,0.13800597190856934,0.8863505125045776,0.8658192157745361,0.8812800049781799,0.5698038339614868,0.3198012113571167,0.7311999797821045,0.6924242377281189
19,0.9497398734092712,0.9084068536758423,0.0005000000237487257,0.13732385635375977,0.8862059116363525,0.8656779527664185,0.8812800049781799,0.5938906669616699,0.31810516119003296,0.7311999797821045,0.6924242377281189
20,0.949334979057312,0.9093798398971558,0.0005000000237487257,0.13794508576393127,0.8857515454292297,0.8639830350875854,0.8812800049781799,0.5266410708427429,0.32383137941360474,0.7311999797821045,0.6924242377281189
21,0.9497398734092712,0.9077974557876587,0.0005000000237487257,0.13723111152648926,0.8862059116363525,0.8656779527664185,0.8812800049781799,0.4957486689090729,0.32362526655197144,0.7311999797821045,0.6924242377281189
22,0.9495379328727722,0.9130059480667114,0.0005000000237487257,0.13661137223243713,0.8857555985450745,0.8651130199432373,0.8819199204444885,0.5611116886138916,0.3248509168624878,0.7335473299026489,0.6924242377281189
23,0.949653148651123,0.9104920625686646,0.0002500000118743628,0.13662075996398926,0.8860448002815247,0.8653954863548279,0.8812800049781799,0.5947773456573486,0.31885355710983276,0.7311999797821045,0.6924242377281189
24,0.9497976303100586,0.916058361530304,0.0002500000118743628,0.13576585054397583,0.8863505125045776,0.8658192157745361,0.8812800049781799,0.5976709127426147,0.3193850815296173,0.7311999797821045,0.6924242377281189
